Impairment Number,Rank,Impairment,Category
03.01.00.00,5,Valvular Heart Disease,03
03.02.00.00,5,Coronary Heart Disease,03
03.03.00.00,5,Congenital Heart Disease,03
03.04.00.00,5,Cardiomyopathies,03
03.05.00.00,5,Pericardial Heart Disease,03
03.06.00.00,5,Arrhythmia,03
04.01.00.00,5,Hypertensive Cardiovascular Disease,04
04.02.00.00,5,Aortic Disease,04
04.03.01.00,5,"Peripheral Vascular Disease, Upper Extremities",04
04.03.02.00,5,"Peripheral Vascular Disease, Lower Extremities",04
04.04.00.00,7,Pulmonary Circulation Disease,04
05.01.00.00,7,Asthma,05
05.02.00.00,7,Respiratory Disorders,05
05.03.00.00,7,Cancer,05
06.01.00.00,6,Upper Digestive Tract,06
06.02.00.00,6,"Colon, Rectum, Anus",06
06.03.00.00,6,Enterocutaneous Fistulas,06
06.04.00.00,6,Liver/Biliary Tract,06
06.05.00.00,6,Hernias,06
07.01.00.00,2,Upper Urinary Tract,07
07.02.00.00,2,Urinary Diversion,07
07.03.00.00,2,Bladder,07
07.04.00.00,2,Urethra,07
07.05.00.00,2,Reproductive System,07
08.01.00.00,2,Disfigurement,08
08.02.00.00,2,Scars & Skin Grafts,08
08.03.00.00,2,Contact Dermatitis,08
08.04.00.00,2,Latex Allergy,08
08.05.00.00,2,Skin Cancer,08
09.01.00.00,2,Hematopoietic Impairment,09
10.01.00.00,2,Diabetes Mellitus,10
11.01.01.00,8,Ear - Hearing Impairment,11
11.01.02.00,8,Ear - Vestibular Disorder,11
11.02.01.00,2,Face/cosmetic,11
11.02.02.00,2,Face/eye/cosmetic,11
11.03.01.00,2,Nose/Throat/Related Structures - Respiration,11
11.03.02.00,2,Nose/Throat/Related Structures - Mastication & Deglutition,11
11.03.03.00,2,Nose/Throat/Related Structures - Olfaction & Taste,11
11.03.04.00,2,Nose/Throat/Related Structures - Voice & Speech,11
12.01.00.00,1,Visual Acuity,12
12.02.00.00,1,Visual Field,12
12.03.00.00,1,Visual System,12
13.01.00.00,6,Consciousness Disorder,13
13.02.00.00,2,Episodic Neurologic Disorder,13
13.03.00.00,6,Arousal Disorder,13
13.04.00.00,2,Cognitive Impairment,13
13.05.00.00,2,Language Disorder,13
13.06.00.00,8,Behavioral/Emotional Disorder,13
13.07.01.00,2,Cranial Nerve - Olfactory,13
13.07.02.00,1,Cranial Nerve - Optic,13
13.07.03.00,2,"Cranial Nerve - Oculomotor, Trochlear & Abducens",13
13.07.04.00,2,Cranial Nerve - Trigeminal,13
13.07.05.00,2,Cranial Nerve - Facial,13
13.07.06.01,8,Cranial Nerve - Vestibulocochlear - Vertigo,13
13.07.06.02,8,Cranial Nerve - Vestibulocochlear - Tinnitus,13
13.07.07.00,2,Cranial Nerve - Glossopharyngeal & Valgus,13
13.07.08.00,2,Cranial Nerve - Spinal Accessory,13
13.07.09.00,2,Cranial Nerve - Hypoglossal,13
13.08.00.00,5,"Station, Gait, Movement",13
