Category,Body Part or Function,Description
03,Cardiovascular System - Heart & Aorta,03 Cardiovascular System - Heart & Aorta
04,Cardiovascular System - Systemic & Pulmonary Arteries,04 Cardiovascular System - Systemic & Pulmonary Arteries
05,Respiratory System,05 Respiratory System
06,Digestive System,06 Digestive System
07,Urinary & Reproductive Systems,07 Urinary & Reproductive Systems
08,Skin,08 Skin
09,Hematopoietic System,09 Hematopoietic System
10,Endocrine System,10 Endocrine System
11,"Ear, Nose & Throat","11 Ear, Nose & Throat"
12,Visual System,12 Visual System
13,Central & Peripheral Nervous System,13 Central & Peripheral Nervous System
14,Mental & Behavioral Disorders,14 Mental & Behavioral Disorders
15,Spine,15 Spine
16,Upper Extremities,16 Upper Extremities
17,Lower Extremities,17 Lower Extremities
18,Pain,18 Pain
