Age,Age Group
0,age0
1,age0
2,age0
3,age0
4,age0
5,age0
6,age0
7,age0
8,age0
9,age0
10,age0
11,age0
12,age0
13,age0
14,age0
15,age0
16,age0
17,age0
18,age0
19,age0
20,age0
21,age0
22,age1
23,age1
24,age1
25,age1
26,age1
27,age2
28,age2
29,age2
30,age2
31,age2
32,age3
33,age3
34,age3
35,age3
36,age3
37,age4
38,age4
39,age4
40,age4
41,age4
42,age5
43,age5
44,age5
45,age5
46,age5
47,age6
48,age6
49,age6
50,age6
51,age6
52,age7
53,age7
54,age7
55,age7
56,age7
57,age8
58,age8
59,age8
60,age8
61,age8
62,age9
63,age9
64,age9
65,age9
66,age9
67,age9
68,age9
69,age9
70,age9
71,age9
72,age9
73,age9
74,age9
75,age9
76,age9
77,age9
78,age9
79,age9
80,age9
81,age9
82,age9
83,age9
84,age9
85,age9
86,age9
87,age9
88,age9
89,age9
90,age9
91,age9
92,age9
93,age9
94,age9
95,age9
96,age9
97,age9
98,age9
99,age9
100,age9
